chip_id	sample	hm	input_id	CEMT_JSD	CEMT_JSD_synthetic	AUC_bs_100	X-intercept_bs_100	Elbow_Point_bs_100	JS_Distance_bs_100	Synthetic_JS_Distance_bs_100	%_genome_enriched_bs_100	CHANCE_bs_100	AUC_bs_200	X-intercept_bs_200	Elbow_Point_bs_200	JS_Distance_bs_200	Synthetic_JS_Distance_bs_200	%_genome_enriched_bs_200	CHANCE_bs_200
A34946	CEMT_27	H3K4me3	A34951	0.271148476977	0.298907961974	0.13264677192804694	0.47505757729372644	0.7203776499152876	0.32329060217801275	0.4014673979066903	9.625206985022924	0.2623118556156888	0.1518095034774035	0.4227618260562067	0.6976663852643183	0.3079800257882704	0.3815969018558137	9.278275197052574	0.24053015327874008
A34953	CEMT_28	H3K4me3	A34958	0.387453499728	0.435962694912	0.053627822633487	0.6710039256022019	0.8239849887153888	0.44492834130365044	0.5452995740366847	1.3439586424265075	0.4751214737111829	0.06348629018306522	0.6321818534948701	0.8062493245440883	0.38663428573579367	0.4901971043478112	1.3454501418747586	0.46236905016060614
A34960	CEMT_29	H3K4me3	A34965	0.337739517254	0.3882014816	0.07035976047339161	0.6327894905531904	0.7916628098028855	0.38679701256447013	0.49599416628174964	1.735500037996355	0.3846536206531623	0.08304991440305236	0.5889624120230765	0.7690387001739226	0.33471993007981754	0.44806430131560293	1.6119892360377621	0.37421645418856364
A35237	CEMT_25	H3K4me3	A35242	0.425845953916	0.465661628567	0.060538945331372454	0.5823350061079503	0.8474721203961822	0.46961740924259915	0.5566323126457503	1.5596077048031745	0.5036642047084143	0.07088075093280378	0.5374563033223274	0.8407543207899075	0.40388978381442914	0.48779022763316343	1.5245507428273997	0.4925092820829044
A35244	CEMT_30	H3K4me3	A35249	0.366731604034	0.384390945467	0.08318409129222747	0.5769021560489181	0.7766580701727066	0.4337304010247451	0.49595032363333447	2.4622895446057056	0.4172529681505012	0.0961424625945509	0.5333118735025513	0.7623192841082989	0.38814831465096866	0.4492794639582146	2.2803842960466194	0.40617476737052755
A35251	CEMT_35	H3K4me3	A35256	0.468279973207	0.55751905455	0.028089797480373328	0.6944308742771576	0.9231963388405142	0.5077491486340134	0.6486642828656914	1.6680719742757777	0.6064194518166816	0.03358065782609571	0.6562490408084884	0.9246763510510676	0.4314173445401498	0.5816356481684389	1.6386924507662313	0.5958390608105959
A35258	CEMT_36	H3K4me3	A35263	0.440180310625	0.480230543218	0.04658055202624103	0.6563789238329614	0.8517837475097234	0.5008346305445975	0.5905145081414606	1.9943749918792262	0.5539237545793098	0.055330783699082245	0.615658235171373	0.8529376109585451	0.4372142520021214	0.5315971070152243	1.9633359306950637	0.5409576699131744
A35265	CEMT_37	H3K4me3	A35270	0.399115352042	0.427001291149	0.08689578382805914	0.4823124791217525	0.8198055508725088	0.4512150666932541	0.5322365301965305	1.997005880778239	0.4734784091575373	0.09961832885114567	0.4345974256972704	0.8209123600629454	0.38359858960725535	0.4702589263158644	1.890102968498155	0.46490036497268855
A35272	CEMT_38	H3K4me3	A35277	0.451919503921	0.50837979359	0.05125270994831837	0.6722435970269038	0.8644699137999187	0.4880226076844665	0.5735106005498299	2.5670120868921167	0.5258021892455109	0.0625984644385608	0.6263289074463697	0.847759509182832	0.45171393284725514	0.5377179951843049	2.5389589738153293	0.5066975127772465
A35992	CEMT_31	H3K4me3	A35997	0.37717829619	0.488019355972	0.0430138953936755	0.6702732650875632	0.8542261633317583	0.41276923860661396	0.5846847997791226	1.2925080887951617	0.507107061190355	0.05190979593906379	0.6279478457684334	0.8540043913243938	0.34728774923725525	0.520547317657879	1.3490909442637116	0.4926491171855602
